_SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,SessionCount
9NWSRR,2020,62,64,57,63,61,58,61,56,62,56,60,56,256
PMWQHW,2020,66,58,56,60,60,61,57,58,65,61,58,59,256
L8UCTT,2020,66,68,60,61,59,57,60,58,60,55,63,56,256
LNZ9DD,2020,63,61,54,62,59,60,61,59,66,61,61,59,256
QH7QYC,2020,64,58,57,64,62,64,60,59,70,62,63,59,256
CBH7PE,2020,66,55,54,56,58,56,58,53,56,53,56,55,256
7PFEAJ,2020,65,67,58,63,61,60,63,58,61,58,62,56,256
JJHRCN,2020,63,64,58,59,58,60,60,56,59,60,60,61,256
8PCQGR,2020,70,59,53,58,60,57,57,55,61,58,60,57,256
E8FCQB,2020,66,60,59,58,62,58,59,57,60,56,62,62,256
QBHUWY,2020,64,60,57,60,64,66,65,58,62,55,60,55,256
9PCMVJ,2020,64,59,56,65,61,62,56,62,65,63,66,62,256
YDG9M7,2020,65,55,54,67,60,63,64,59,65,59,61,56,256
U7VP8N,2020,64,56,58,62,56,63,57,54,58,56,58,58,256
Z7HWSQ,2020,59,54,55,58,55,61,55,52,57,55,56,55,256
ZDJMRL,2020,64,56,54,61,58,66,61,56,60,58,57,56,256
NUHQZK,2020,60,59,56,58,60,58,57,57,64,59,60,55,256
LQESM8,2020,63,56,57,67,59,61,58,59,66,67,58,60,256
3KLLRA,2020,63,69,59,57,59,58,60,55,63,57,60,61,256
VA9GKU,2020,62,60,57,59,57,59,57,58,58,55,58,58,256
8V8THJ,2020,68,58,55,62,62,62,59,56,65,58,60,57,256
JST3EH,2020,69,59,57,69,60,65,63,59,66,61,60,60,256
R8HEAC,2020,66,59,59,58,57,60,58,58,63,61,57,61,256
KVS7PT,2020,66,62,65,63,61,62,61,57,60,59,59,60,256
KXPYPW,2020,64,61,57,68,61,57,55,61,68,60,62,59,256
9AXBYD,2020,63,77,59,60,62,58,64,58,59,58,65,56,256
MRUCX7,2020,66,58,53,66,61,64,64,60,63,58,61,55,256
WMJ839,2020,67,63,59,63,64,60,60,58,71,60,62,60,256
V3CLXW,2020,65,57,57,66,63,60,57,60,69,61,60,60,256
JHFNBM,2020,65,58,56,59,56,61,57,57,65,59,61,56,256
7YXDPD,2020,62,57,52,61,60,58,59,54,60,56,56,56,256
GQ8KNN,2020,60,65,55,53,56,58,56,50,62,55,56,59,256
BRWLPY,2020,70,57,62,61,61,60,56,58,68,64,60,61,256
TKAGJ3,2020,61,55,54,58,56,60,57,53,56,55,58,53,256
SQZMWL,2020,67,56,63,65,61,59,57,62,69,61,62,58,256
UHB7CG,2020,67,57,58,62,62,61,59,58,73,65,59,59,256
UHMKQD,2020,63,56,55,62,61,60,58,55,62,56,58,55,256
ZEKD7G,2020,66,60,56,63,63,60,59,56,63,58,60,56,256
ZVDT8S,2020,61,59,60,59,62,55,60,59,58,58,65,55,256
JPFMDV,2020,64,57,55,60,59,58,61,58,61,59,61,57,256
G7HUGG,2020,66,55,54,60,60,59,56,57,65,59,57,58,256
FVBM8M,2020,60,62,54,57,55,57,55,56,60,55,60,55,256
KCGMK7,2020,66,57,54,56,58,57,56,56,60,57,57,56,256
JQPSPU,2020,65,57,54,66,59,63,62,60,59,56,63,54,256
CN7BXS,2020,62,56,54,66,62,61,61,63,70,67,67,57,256
