SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
9NWSRR,2020,61,67,58,64,62,60,63,65,55,54,58,58,58,63,63,71,63,61,62,61,62,58,59,61,64,56,58,56,57,54,256
PMWQHW,2020,60,54,56,54,52,58,55,54,60,55,55,61,51,54,58,51,52,52,51,59,51,56,57,57,55,58,59,53,52,51,256
L8UCTT,2020,60,75,60,64,72,65,67,67,59,58,61,57,62,64,62,61,62,66,65,64,81,59,57,63,66,61,60,69,56,61,256
LNZ9DD,2020,61,65,62,66,62,60,61,59,64,61,55,62,70,64,62,61,60,61,57,67,63,65,58,74,62,64,63,61,65,59,256
QH7QYC,2020,68,64,64,70,63,67,65,67,75,69,64,68,63,63,68,60,62,64,64,68,66,70,60,71,60,73,64,57,66,67,256
CBH7PE,2020,63,50,57,52,57,60,64,55,54,52,46,52,53,57,58,62,60,58,56,55,54,56,53,58,62,54,54,51,53,52,256
7PFEAJ,2020,60,70,61,58,62,68,67,66,59,58,61,57,62,61,62,65,65,63,69,62,59,56,62,59,62,60,57,66,52,60,256
JJHRCN,2020,60,63,62,58,57,53,56,55,62,56,57,56,77,56,55,57,55,58,56,60,61,61,57,68,61,66,65,57,57,63,256
8PCQGR,2020,57,50,51,51,56,56,63,52,49,54,45,47,52,54,55,60,56,52,52,53,53,47,50,53,59,56,47,51,48,51,256
E8FCQB,2020,68,69,67,65,72,58,61,64,64,59,62,72,60,65,68,58,67,66,64,71,72,64,65,65,71,65,64,62,63,65,256
QBHUWY,2020,54,55,55,59,60,61,62,63,52,55,54,52,57,57,57,59,61,55,55,61,58,54,53,58,53,59,66,54,55,57,256
9PCMVJ,2020,70,64,55,70,59,62,60,64,62,64,59,67,70,63,67,66,63,68,67,77,61,61,61,72,62,74,74,58,60,64,256
YDG9M7,2020,58,55,52,67,56,67,63,59,58,60,53,58,58,62,60,69,58,65,65,64,61,53,53,65,57,60,58,50,57,54,256
U7VP8N,2020,66,58,60,61,53,61,58,54,57,52,57,64,66,59,62,64,58,60,63,68,55,60,51,58,57,72,61,56,60,59,256
Z7HWSQ,2020,58,50,57,49,50,56,55,53,53,53,55,56,51,53,56,50,52,51,52,49,49,55,53,54,59,49,50,53,54,47,256
ZDJMRL,2020,56,60,53,61,58,71,65,61,54,62,60,58,57,59,62,66,59,66,66,66,58,56,61,63,62,64,60,51,53,57,256
NUHQZK,2020,61,65,69,59,63,55,59,59,61,62,56,55,63,62,63,56,67,58,59,62,72,68,62,64,61,61,57,64,62,63,256
LQESM8,2020,64,60,60,75,59,58,61,65,67,70,65,65,74,72,67,67,63,67,69,70,60,64,58,72,63,73,65,53,63,67,256
3KLLRA,2020,57,65,56,54,58,49,50,54,55,49,54,55,56,55,56,52,55,56,53,52,64,52,50,52,53,56,53,65,54,50,256
VA9GKU,2020,61,66,64,60,61,57,63,64,56,55,59,58,81,62,61,67,65,65,64,66,63,60,58,66,57,63,64,65,61,65,256
8V8THJ,2020,63,58,53,67,59,57,68,62,64,56,59,62,57,61,64,68,61,63,68,60,57,57,56,64,61,61,58,58,57,58,256
JST3EH,2020,60,57,53,69,60,63,62,61,63,59,56,53,61,73,62,65,57,59,66,64,61,61,52,61,60,64,75,52,63,59,256
R8HEAC,2020,65,67,65,61,60,54,60,59,61,60,61,63,83,60,61,65,60,62,63,70,59,66,59,68,62,68,66,61,58,60,256
KVS7PT,2020,63,58,74,62,55,60,60,56,58,56,53,61,63,59,61,69,66,63,60,64,57,62,64,62,59,62,61,59,60,61,256
KXPYPW,2020,60,63,55,66,63,60,59,63,63,53,63,59,59,63,63,62,59,60,63,68,61,61,59,66,62,57,66,59,57,64,256
9AXBYD,2020,61,83,63,63,67,55,61,63,61,57,62,61,62,57,63,58,62,64,59,62,67,62,60,62,59,64,60,68,54,60,256
MRUCX7,2020,56,62,55,68,57,64,61,65,56,56,60,54,63,64,56,67,55,61,64,60,60,56,52,60,57,59,59,54,56,56,256
WMJ839,2020,65,65,64,60,71,62,62,66,67,60,63,62,62,65,66,49,68,55,59,63,70,70,59,62,64,59,60,68,57,60,256
V3CLXW,2020,61,58,60,62,66,61,70,64,61,57,61,61,59,62,70,63,62,61,66,75,56,58,62,62,63,62,61,58,55,60,256
JHFNBM,2020,62,65,59,69,69,62,62,62,67,57,55,60,63,69,63,65,62,60,64,70,83,63,58,69,68,65,68,61,73,63,256
7YXDPD,2020,54,54,56,63,51,57,61,59,52,53,55,55,59,66,61,66,57,59,60,59,54,54,55,58,62,56,57,54,52,53,256
GQ8KNN,2020,65,69,67,57,67,65,62,61,68,55,56,66,62,55,62,63,65,57,60,64,66,65,57,69,58,62,59,60,63,67,256
BRWLPY,2020,74,63,69,66,66,59,61,62,76,68,63,67,65,66,65,61,65,57,59,72,65,79,66,71,71,64,63,57,65,64,256
TKAGJ3,2020,59,55,58,56,52,60,58,55,51,54,56,56,61,53,62,62,57,52,62,63,54,54,54,55,55,60,56,54,56,51,256
SQZMWL,2020,65,60,70,70,65,58,64,68,63,55,60,59,62,63,63,67,71,67,68,69,64,63,65,61,64,63,64,64,59,76,256
UHB7CG,2020,65,60,66,63,64,59,59,61,73,67,58,57,61,61,61,59,61,54,56,65,64,70,61,68,67,55,60,54,60,64,256
