id,type,room,start,end,language,zh,en,speakers,tags,co_write,slide,record,year
9NWSRR,o5ypky,TR213,2020-08-02 12:00:00,2020-08-02 12:30:00,漢語,"{'title': 'Connect to PostgreSQL With Different Programming Language', 'description': '介紹在常見的程式語言，如何連接PostgreSQL，進行CURD以及其他常見功能\n\n---\n\n1.透過原生套件及第三方套件，連結至PostgreSQL\r\n2.CURD範例說明'}","{'title': 'Connect to PostgreSQL With Different Programming Language', 'description': 'Introduce how to connect to PostgreSQL, perform CURD and other common functions in common programming languages\n\n---\n\n1. Connect to PostgreSQL through native packages and third-party packages\r\n2. CURD example'}",['NBG9HV'],['Beginner'],https://hackmd.io/@coscup/B1EkHOplv,,https://youtu.be/bmkOXSYbgv8,2020
PMWQHW,tgfis3,TR412-1,2020-08-01 12:00:00,2020-08-01 13:00:00,漢語,"{'title': 'BOF: Welcome to sciwork', 'description': 'BOF: Welcome to sciwork\n\n---\n\nBoF 是一群有相同喜好的人、歡樂聚會的活動！因為喜好相同，所以你們可以暢談彼此在相同主題上的新發現，又或者與其他只在網路上聊過天、卻沒見過面的「熟人」碰個面。\r\n\r\n此時段已預定舉辦 BOF: Welcome to sciwork\r\n若對此主題有興趣，歡迎自由參加！'}","{'title': 'BOF: Welcome to sciwork', 'description': 'BOF: Welcome to sciwork\n\n---\n\n""A BoF session, an informal meeting at conferences, where the attendees group together based on a shared interest and carry out discussions without any pre-planned agenda."" -- Wikipedia\r\n\r\nThis time slot has been reserved by ""BOF: Welcome to sciwork"".\r\nSounds interesting? You are welcome to join us!'}",['8DZ8SW'],['Beginner'],,,,2020
L8UCTT,q52oqx,TR311,2020-08-01 15:15:00,2020-08-01 16:00:00,漢語,"{'title': 'MySQL空間資訊系統 - MyQL GIS', 'description': 'MySQL自5.7以後就具備完整GIS功能,在InnoDB引擎支援spatial資料型別和相關功能,能處理GIS資料.在8.0還進一步支援地球圓形的運算,和超過5000種空間參考系統(SRS), 配合ACID以及高可用架構和新加入的Window Function,CTE等功能,MySQL己成為地理資訊系統和行動應用最佳的拍檔.這場研討會將為您介紹MySQL的GIS功能,並以一個簡單的範例,展示如何用MySQL的GIS大幅降低需要位置資訊的行動運算之開發成本.\n\n---\n\n我在研討會中將會介紹:\r\n1. 什麼是地理資訊系統? MySQL實施的Special Data的標準\r\n2. MySQL的Spatical data type\r\n3. 什麼是SRS (Spatial Reference System), MySQL如何實施SRS/\r\n4. MySQL的Spatial Function\r\n5. Spatial Index的用途\r\n6. 以實例展示MySQL 8.0的GIS功能,以及它所帶來的效益\r\n7. 總結和問答'}","{'title': 'MySQL空間資訊系統 - MyQL GIS', 'description': 'MySQL自5.7以後就具備完整GIS功能,在InnoDB引擎支援spatial資料型別和相關功能,能處理GIS資料.在8.0還進一步支援地球圓形的運算,和超過5000種空間參考系統(SRS), 配合ACID以及高可用架構和新加入的Window Function,CTE等功能,MySQL己成為地理資訊系統和行動應用最佳的拍檔.這場研討會將為您介紹MySQL的GIS功能,並以一個簡單的範例,展示如何用MySQL的GIS大幅降低需要位置資訊的行動運算之開發成本.\n\n---\n\n我在研討會中將會介紹:\r\n1. 什麼是地理資訊系統? MySQL實施的Special Data的標準\r\n2. MySQL的Spatical data type\r\n3. 什麼是SRS (Spatial Reference System), MySQL如何實施SRS/\r\n4. MySQL的Spatial Function\r\n5. Spatial Index的用途\r\n6. 以實例展示MySQL 8.0的GIS功能,以及它所帶來的效益\r\n7. 總結和問答'}",['7WMKLH'],['Skilled'],https://hackmd.io/@coscup/HyVj7uTgP,,https://www.youtube.com/watch?v=FCmDujhZNG4,2020
LNZ9DD,0rra9d,TR309,2020-08-01 13:20:00,2020-08-01 13:38:00,漢語,"{'title': '從開源資料開始，打造協助孩子課業的聊天機器人', 'description': '一個地方爸爸使用開放資料，在過去一年打造了多個聊天機器人，成功協助眾多學生與家長的經驗。\n\n---\n\n我在女兒上了小學一年級後，為了協助自己檢查孩子的國語作業，開始利用教育部的開放資料，打造了「國語小幫手」聊天機器人，後來分享到家長社群，第一天就增加了一萬個使用者。\r\n\r\n爾後，又持續使用開放資料打造了「台語小幫手」、「國中會考吧」等多個學習用的聊天機器人。\r\n\r\n希望與各位分享我在打造累積超過二十萬個使用者的聊天機器人服務，所體驗到關於「開放數據」、「需求」與「應用」這三者之間的交互關係。'}","{'title': '從開源資料開始，打造協助孩子課業的聊天機器人', 'description': '一個地方爸爸使用開放資料，在過去一年打造了多個聊天機器人，成功協助眾多學生與家長的經驗。\n\n---\n\n我在女兒上了小學一年級後，為了協助自己檢查孩子的國語作業，開始利用教育部的開放資料，打造了「國語小幫手」聊天機器人，後來分享到家長社群，第一天就增加了一萬個使用者。\r\n\r\n爾後，又持續使用開放資料打造了「台語小幫手」、「國中會考吧」等多個學習用的聊天機器人。\r\n\r\n希望與各位分享我在打造累積超過二十萬個使用者的聊天機器人服務，所體驗到關於「開放數據」、「需求」與「應用」這三者之間的交互關係。'}",['39QKUD'],['Beginner'],https://hackmd.io/@coscup/BkLNMuplP,,,2020
QH7QYC,k0it1p,TR410,2020-08-02 14:35:00,2020-08-02 15:05:00,漢語,"{'title': '東京都新冠肺炎對策網站開源參與經驗', 'description': '這個演講會從大型開源專案的參加經驗進行分享，大部分內容在Soft_Job的網頁上已經有了，現場主要會將原有內容改以投影片方式呈現，鼓勵大家如何去有效率的開ISSUE或者是協助開源專案進行。\n\n---\n\n內容部分請見： https://www.ptt.cc/bbs/Soft_Job/M.1585770728.A.0AD.html'}","{'title': '東京都新冠肺炎對策網站開源參與經驗', 'description': '這個演講會從大型開源專案的參加經驗進行分享，大部分內容在Soft_Job的網頁上已經有了，現場主要會將原有內容改以投影片方式呈現，鼓勵大家如何去有效率的開ISSUE或者是協助開源專案進行。\n\n---\n\n內容部分請見： https://www.ptt.cc/bbs/Soft_Job/M.1585770728.A.0AD.html'}",['T87J7W'],['Beginner'],https://hackmd.io/@coscup/H1PCfdaxv,,https://www.youtube.com/watch?v=kqHijqoC0-k,2020
CBH7PE,et6xcx,TR214,2020-08-02 10:40:00,2020-08-02 11:10:00,漢語,"{'title': '使用Go channel的正確姿勢', 'description': '對於有寫過Go的人來說，對channel應該不算陌生，channel讓我們更方便的進行不同Go routine之間的溝通，我將由淺入深的從介紹channel的正確使用姿勢開始，再來介紹channel的實作，如何正確的在goroutine之間傳遞訊息，並且達到thread safe\n\n---\n\n在這場talk當中會包含以下幾個元素:\r\n1. Go channel的使用方式以及案例\r\n2. Go channel的implementation\r\n    - 如何透過mutex來讓go channel thread safe\r\n    - Channel與go schedule 之間如何互動\r\n    - channel 之間是如何透過 sendq, recveq 接收與傳遞資訊\r\n    - channel與select之間是如何互動的'}","{'title': 'How to use Go channel correctly', 'description': 'For the go language programmer, you must heard channel before. Go channel give us a easy way to passing message between goroutine. In this talk, I will start from introduce the basic example of goroutine and how go channel implemented in source code. How go channel passing message and prevent the race condition.\n\n---\n\nHere are the topics I will cover in this talk:\r\n1. The example of using go channel\r\n2. The implementation of go channel\r\n - How to make sure go channel thread safe\r\n - How Go scheduler interact with go channel\r\n - How go channel communicated with each others with sendq, recveq\r\n - How select work with channel'}",['ZC797G'],['Beginner'],https://hackmd.io/@coscup/rJHJmuplv,,,2020
7PFEAJ,o5ypky,TR213,2020-08-02 11:20:00,2020-08-02 11:50:00,漢語,"{'title': 'JSON in PostgreSQL，建議跟不建議', 'description': 'RDBMS設計上往往在需求變動時難以在架構上有所跟進，而PostgreSQL也支援更完整的JSON資料型態、處理函數，讓開發者可以在不確定的需求結構上多了一個可以使用的選擇。\r\n這個議程跟大家簡單PostgreSQL提供關於JSON的應用，以及使用JSON、不使用JSON設計的差異。\n\n---\n\n1. 開始，先聊正規化\r\n2. 變化，讓要改的東西太多\r\n3. 方便，不拘泥於形式\r\n4. 問題，責任歸屬於誰\r\n5. 結尾，更好的使用心態'}","{'title': 'JSON in PostgreSQL，建議跟不建議', 'description': 'RDBMS設計上往往在需求變動時難以在架構上有所跟進，而PostgreSQL也支援更完整的JSON資料型態、處理函數，讓開發者可以在不確定的需求結構上多了一個可以使用的選擇。\r\n這個議程跟大家簡單PostgreSQL提供關於JSON的應用，以及使用JSON、不使用JSON設計的差異。\n\n---\n\n1. 開始，先聊正規化\r\n2. 變化，讓要改的東西太多\r\n3. 方便，不拘泥於形式\r\n4. 問題，責任歸屬於誰\r\n5. 結尾，更好的使用心態'}",['7GCEKP'],['Beginner'],https://hackmd.io/@coscup/S1WJHu6lP,,https://youtu.be/ZcT3ZGNhNkY,2020
JJHRCN,wtnxhf,TR309,2020-08-02 12:15:00,2020-08-02 12:40:00,漢語,"{'title': '深度學習有何不能？來自 Gary Marcus 的啟發', 'description': '【演講主題：AGI】\r\n\r\n自從在 2012 年 ImageNet 大規模視覺辨識挑戰賽大顯身手後，深度學習已經成為機器學習與 AI 領域的佼佼者。然而直到現在，深度學習仍然有許多未解的棘手問題。在這個短講之中，將帶領大家探討知名的深度學習批評者：Gary Marcus 的作品，以了解深度學習的幾個核心問題、以及如何改進，讓我們能為 _Robust AI_ 這個目標前進。\n\n---\n\n主要內容參考自 Gary Marcus 的幾個作品：\r\n- Deep Learning: A Critical Appraisal\r\n- Rebooting AI: Building Artificial Intelligence We Can Trust\r\n- The Next Decade in AI: Four Steps Towards Robust Artificial Intelligence\r\n\r\n為了了解深度學習的幾個核心問題，除了解釋深度學習的基本概念之外，也會同時舉幾個深度學習沒有辦法良好運作的範例。我們會專注在以下幾個深度學習的缺點：\r\n- 貪婪無厭：訓練深度學習的模型常常需要大量的資料\r\n- 不透明性：很難用人類的角度來解釋深度學習內部的實際運作\r\n- 易碎體質：功能強大的深度學習模型，反而常常在一些很簡單的例子下無法運作\r\n\r\n在了解深度學習的缺陷後，接下來會去試著挖掘我們 AI 發展的下一步。探討的方向將會包含：來自人類心智的啟發、常識、以及 Deep Understanding。我們會用 Gary Marcus 所提出的 AI 架構：一個基於知識與認知模型的混合方案，作為範例。'}","{'title': ""What's Wrong with Deep Learning? Lessons Learned from Gary Marcus"", 'description': '【Session Theme: AGI】\r\n\r\nSince the winning of ImageNet competition in 2012, Deep Learning dominates the domains of machine learning and AI. However, there are still many unsolved struggles of Deep Learning. In this talk, we will discuss on several works by Gary Marcus, a famous critic of Deep Learning, to show the core problems of (pure) Deep Learning, and what are the steps towards Robust AI.\n\n---\n\nIn this talk, we will briefly go through some works by Gary Marcus:\r\n- *Deep Learning: A Critical Appraisal*\r\n- *Rebooting AI: Building Artificial Intelligence We Can Trust*\r\n- *The Next Decade in AI: Four Steps Towards Robust Artificial Intelligence*\r\n\r\nTo understand the core problems of Deep Learning, we will introduce the concept of Deep Learning, and provide some examples to show that Deep Learning does not work. Three main drawbacks of (pure) Deep Learning we want to focus on are:\r\n- *Greediness*: Deep Learning often requires a massive amount of data\r\n- *Opaqueness*: Human-style explanation of Deep Learning systems is hard\r\n- *Brittleness*: Even powerful Deep Learning systems are usually easily to be fooled. \r\n\r\nAfter discovering the issues of Deep Learning, we will try to find the road that guides us to next level of AI. The study materials include some insights from human mind, common sense, and deep understanding. Finally, we will show a novel AI architecture proposed by Gary Marcus, which is based on a hybrid, knowledge-driven, cognitive-model-based approach.'}",['DR9JJR'],['Beginner'],https://hackmd.io/@coscup/B1ucMupeP,,,2020
8PCQGR,et6xcx,TR214,2020-08-02 14:00:00,2020-08-02 14:30:00,漢語,"{'title': 'Goroutine stack and local variable allocation in Go', 'description': '探討除了 dynamic variable allocation 之外，Go 是如何實踐  goroutine stack 與 local variable allocation。並且會談及 stack extension 議題。\n\n---\n\n相信蠻多 Gopher 都知道改寫自 tcmalloc 的 Go dynamic allocator，不過你有了解過 Go 的  goroutine stack 與其 local variable allocation 機制嗎？本次分享將由工程師最熟悉的 C local variable allocation 講起，然後再來說明 Go  是如何實現它的 goroutine stack 和 local variable allocation，並且也會提到 goroutine stack extension 議題。'}","{'title': 'Goroutine stack and local variable allocation in Go', 'description': 'Introduction to goroutine stack\n\n---\n\n相信蠻多 Gopher 都知道改寫自 tcmalloc 的 Go dynamic allocator，不過你有了解過 Go 的  goroutine stack 與其 local variable allocation 機制嗎？本次分享將由工程師最熟悉的 C local variable allocation 講起，然後再來說明 Go  是如何實現它的 goroutine stack 和 local variable allocation，並且也會提到 goroutine stack extension 議題。'}",['MRKXKF'],['Advance'],https://hackmd.io/@coscup/HJDl7uaew,,,2020
E8FCQB,4vqyto,RB105,2020-08-02 13:00:00,2020-08-02 13:30:00,漢語,"{'title': '國網台灣杉一號使用經驗', 'description': '國家高速網路與計算中心 (簡稱國網) 是財團法人國家實驗研究院的研究機構。除了自身的研究，國網也提供台灣杉一號、台灣杉二號兩台高速運算主機的資源供其他研究單位以及民間企業申請使用。\r\n\r\n筆者的近年研究的主題是以蒙地卡羅模擬進行釔-90放射栓塞治療的輻射劑量分布，使用GATE/GEANT4的框架。本節演講將分享在台灣杉一號安裝設定 GATE/GEANT4 以及使用的經驗。\n\n---\n\n國家高速網路與計算中心 (簡稱國網) 是財團法人國家實驗研究院的研究機構。除了自身的研究，國網也提供台灣杉一號、台灣杉二號兩台高速運算主機的資源供其他研究單位以及民間企業申請使用。\r\n\r\n筆者的近年研究的主題是以蒙地卡羅模擬進行釔-90放射栓塞治療的輻射劑量分布，使用GATE/GEANT4的框架。本節演講將分享在台灣杉一號安裝設定 GATE/GEANT4 以及使用的經驗。'}","{'title': '國網台灣杉一號使用經驗', 'description': '國家高速網路與計算中心 (簡稱國網) 是財團法人國家實驗研究院的研究機構。除了自身的研究，國網也提供台灣杉一號、台灣杉二號兩台高速運算主機的資源供其他研究單位以及民間企業申請使用。\r\n\r\n筆者的近年研究的主題是以蒙地卡羅模擬進行釔-90放射栓塞治療的輻射劑量分布，使用GATE/GEANT4的框架。本節演講將分享在台灣杉一號安裝設定 GATE/GEANT4 以及使用的經驗。\n\n---\n\n國家高速網路與計算中心 (簡稱國網) 是財團法人國家實驗研究院的研究機構。除了自身的研究，國網也提供台灣杉一號、台灣杉二號兩台高速運算主機的資源供其他研究單位以及民間企業申請使用。\r\n\r\n筆者的近年研究的主題是以蒙地卡羅模擬進行釔-90放射栓塞治療的輻射劑量分布，使用GATE/GEANT4的框架。本節演講將分享在台灣杉一號安裝設定 GATE/GEANT4 以及使用的經驗。'}",['FSMJBZ'],['Skilled'],https://hackmd.io/@coscup/Bk6dQO6xP,,https://www.youtube.com/watch?v=ckPg0UEsgzw,2020
