id,type,room,start,end,language,zh,en,speakers,speakerZhName,speakerEnName,speakerZhBio,speakerEnBio,speakerAvatar,tags,co_write,qa,slide,record,year
J3X8SE,p781mx,TR409-1,2021-08-01 13:40:00,2021-08-01 14:10:00,漢語,"{'title': 'Google Cloud Buildpacks 剖析與實踐', 'description': 'CNCF 的 Cloud Native Buildpacks 專案已經在 2020 已經從 Sandbox 項目變成成了 Incubation 項目。Cloud Native Buildpacks (CNB) 的出現定義了轉換程式碼至 OCI 的標準，可以讓開發人員專注在本身功能上面，將安全性及依賴套件打包相關的部份交由 CNB 負責。\r\n\r\nGoogle 也依照了CNB 的規範開源了 Google 版的 Google Cloud Buildpacks，也在 2019 Google Cloud Next 上宣布 Cloud Run (Cloud Run Button), GKE, Anthos, App Engine, Cloud functions 等服務支援使用 Google Cloud Buildpacks。\r\n\r\n本場會介紹 CNB 的發展歷史及 Google 開源的 Google Cloud Buildpacks 剖析與實踐'}","{'title': 'Analysis and Practice of Google Cloud Buildpacks', 'description': ""CNCF's Cloud Native Buildpacks project has changed from a Sandbox project to an Incubation project in 2020. This allows developers to focus on their own functionality, leaving the security and dependency on the package to CNB.\r\n\r\nGoogle has also developed Google Cloud Buildpacks in accordance with the CNB specification, and announced Cloud Run (Cloud Run Button), GKE, Anthos, We also announced at Google Cloud Next 2019 that Cloud Run (Cloud Run Button), GKE, Anthos, App Engine, Cloud functions, and other services support the use of Google Cloud Buildpacks.\r\n\r\nThis session will introduce the development history of CNB and Google's open source Google Cloud Buildpacks analysis and practice.""}",['Y9LQXE'],,,,,,['Skilled'],https://hackmd.io/@coscup/ryH3GaPCu/%2F%40coscup%2FBy3jMpDCO,https://app.sli.do/event/annxd5rp,,,2021
YUAQMQ,4hswou,TR313,2021-08-01 15:00:00,2021-08-01 15:30:00,English,"{'title': 'Designing an open Linux capable SoC using Free Software', 'description': 'This talk will cover many aspects of designing and debugging a multi core linux capable SoC by introducing the developpement history of the following open source tools : \r\n- SpinalHDL : A Scala hardware description API\r\n- VexRiscv : A RISC-V softcore\r\n- SaxonSoc : A framework to integrate SoC components together'}","{'title': 'Designing an open Linux capable SoC using Free Software', 'description': 'This talk will cover many aspects of designing and debugging a multi core linux capable SoC by introducing the developpement history of the following open source tools : \r\n- SpinalHDL : A Scala hardware description API\r\n- VexRiscv : A RISC-V softcore\r\n- SaxonSoc : A framework to integrate SoC components together'}",['98PVQB'],,,,,,['Skilled'],https://hackmd.io/@coscup/HJjKEpPRu/%2F%40coscup%2FSJvY4aDCd,https://app.sli.do/event/o34fzzpz,,,2021
ZFSALH,rmttum,TR411,2021-07-31 13:05:00,2021-07-31 13:35:00,漢語,"{'title': '踏上台語Wiki寫作ê路', 'description': '欲分享ê重點大綱是：\r\n1. 一開始並毋是beh寫台語Wiki啦\r\n2. 感覺無啥物thang寫ê時，就是開始寫作ê時\r\n3. 翻譯，原來是無簡單ê代誌\r\n4. 做伙跳坑khah有伴，只是講...\r\n5. 繼續寫落去ê動力--看見ǹg望'}","{'title': 'My Way to Write Wikipedia in Taiwanese', 'description': ""The key outline I want to share is:\r\n\r\n1. I didn't want to write a Taiwanese Wiki at the beginning\r\n\r\n2. When you feel that there is nothing to write, that is when you start to write\r\n\r\n3. Translation is not easy\r\n\r\n4. Jumping pits together is more accompanied, but...\r\n\r\n5. The motivation to keep writing down--seeing hope""}",['LATNFR'],,,,,,[],https://hackmd.io/@coscup/r1Xy7pPA_/%2F%40coscup%2FrkZAzpD0O,https://app.sli.do/event/7noxmiqa,,,2021
TK9WMQ,ptreqr,TR309,2021-07-31 13:45:00,2021-07-31 14:25:00,漢語,"{'title': 'QEMU容錯開發經驗談-管理及網路效能調校', 'description': '為了讓虛擬機容錯功能可以更方便的使用，我們嘗試將虛擬機容錯技術Cuju (https://github.com/Cuju-ft/Cuju/) 整合進OpenStack雲平台中，本以為只是將底層QEMU虛擬機服務指令傳到上層OpenStack即可，但其實並沒有想像中的那麼簡單，因此本次演講我們將分享這次整合的經驗，包括OpenStack如何和QEMU互動，以及為了和OpenStack整合修改了哪些軟體執行指令以及網路設定方式。在本次演講中，也會分享最近我們最近開發的容錯初始備份最佳化方式以及容錯模式下TCP網路的最佳化，並有影片來DEMO我們將容錯應用於視訊軟體伺服器的情境，以及使用OpenStack開啟容錯功能的展示。'}","{'title': 'QEMU Fault Tolerance Development Experience - Management and Network Performance Tuning', 'description': 'In order to make the virtual machine fault tolerance function more convenient to use, we tried to integrate the virtual machine fault tolerance technology Cuju (https://github.com/Cuju-ft/Cuju/) into the OpenStack cloud platform. We thought it was just the underlying QEMU virtual The machine service command can be passed to the upper layer OpenStack, but it is not as simple as expected. Therefore, in this speech we will share the experience of this integration, including how OpenStack interacts with QEMU, and in order to integrate with OpenStack, which software execution commands and network settings have been modified. In this lecture, we will also share our recently developed optimization methods for fault tolerance initial backup and the optimization of TCP networks in fault tolerance mode. There is also a video to demo the scenario where we apply fault tolerance to video software servers, as well as a demonstration of using OpenStack to turn on fault tolerance.'}",['XNF7T3'],,,,,,['Advance'],https://hackmd.io/@coscup/ryHfQ6vAu/%2F%40coscup%2FBJQ-7awCO,https://app.sli.do/event/zgxzodts,,,2021
DD8DWJ,rmttum,TR411,2021-07-31 11:45:00,2021-07-31 12:15:00,漢語,"{'title': 'Kdmatun ba qmita mtutuy ka kari nSeediq dungan 欣見賽德克語活起來了', 'description': 'Knkawas 2021 nii we, knkawas knpryuxan paru bale yami Seediq. Ga miyan meniq cmikul pstutuy kari nami ka cunghu saya, kika egu ba seediq miyan suupu mbeyax ba pslutuc kari miyan naq Seediq ma, spatis daha, kdmatun ba qmita ka kari nSeediq ga psaan baro na weci-payko hiya.\r\n\r\nKnkawas 2015 hayan we, Cungcutase yencumingcu yencyocongsin ge, mnangal kimgal ooda kesun “yencumingcuyi wecipayko cencucihwa”, smneli drudan mkela rmengo ma mkela matis kari Seediq, mkpklaun na seediq bobo dheran nii kari ta Seediq, ani si uka ka seediq mpdudul ma, uka mplekuh na duri ma, uka riyung ka kari pptasun na duri, so ba mttweraq ka ooda nii di; kii naq malu bale, knkawas 2019 de niqan nami yiyen-twetongcucu ka yami di, niqan nami sapah pssliyan pprngangu ooda qpahun nii, ma, psraman ido ppuqun daha duri, kika mtutuy pahung daha mpatis ooda nii dungan. \r\n\r\n Knkawas 2020 idas 4, yiyen-twetongcucu miyan yami Seediq we, mita nami nii ka sntangan nami di mesa miyan, kika mlawa miyan riso nami Walis Huwac ka mnangal  kawci-zencung meyah dmudul riso weewa pqeepah ooda wiki nii, egu bale riso weewa Seediq na Plmukan ka knkulan na meyah dmayo qmeepah ooda nii, pswayan teru klegan rahur kari nSeediq ka riso ma rudan suupu moda ddaan wiki nii. Kika knkingal ali keeman ripay-u patis hido 18:00~20:30 de, msseli sapah ttgsaan yiyen-twetongcucu hiya moda qqpahun oda wiki nii, \r\n\r\nKnkawas 2021 idas 3, msuupu miyan kingal lnglungan kana nami ma, matis nami kari miyan Seediq sposa nami wiki baro, kika qulung ba gaga qtaan seediq bobo dheran nii di, seung naq seediq nami yami Seediq ka maha mqqaras bale, so kiya de, maha daha klaun mesa niqan ririh pnstutuy na kari Seediq Taywan nii ka cunghu ta. \r\n\r\nBobo na, pkbeyax nami lmutuc matis ma, qmeepah ddaan nami quri weci-payko nii dungan; mplawa nami egu ka rrudan ma rriso miyan meeyah dmayo qqpahun nii dungan, suupu kmdakan Weci-payko nnami naq Seediq,'}","{'title': 'Pleased to see the reborn of Seediq language', 'description': ""For Seediq, 2021 is an epoch-making year. We have promoted the language revitalization policy at the government, many of our ethnic groups gave efforts on passing our language and written records. We are pleased to see that the Seediq language is officially launched on Wikipedia.\r\n\r\nIn the “Project for Wikipedia Construction of Aboriginal Languages” undertaken by the Center for Aboriginal Studies of Chengchi University in 2015, a group of tribal elders who can speak and write Seediq attempted to promote our Seediq language to the international stage. However, due to the lack of organizational aid and human resources, the written articles are limited and precarious. Fortunately, in 2019, with the Seediq Language Promotion Organization, we have a fixed place to gather editors and discuss, we have funding for meal expenses that gave us strength. Our original ambition has returned.\r\n\r\nIn April 2020, the Seediq Language Promotion Organization saw that it is about time, and asked a tribe youth(Jiang Kaiwen Walis Huwac) who passed the advanced ethnic language certification to be the convener and launch a youth editorial team to attract more Seediq and Han youth to join the editing. The editing was divided into 3 categories, the entry was a co-editing with the tribe elders. We edit regularly at the classroom organized by Seediq Language Promotion Organization from 18:00 to 20:30 every Friday evening.\r\n\r\nIn March 2021, thanks to the efforts of everyone to write in the Seediq language and edit on the Wiki platform, the Seediq language was finally seen by the world. All Seediq is no doubt the happiest group of people! At the same time, this shows that the government's Language Restoration Policy has also worked.\r\n\r\nIn the future, we will continue to write and edit Wikipedia; we will also recruit more elders and young people to join the editing to maintain the Wikipedia that belongs to us.""}","['BRCAAS', 'L8PG3F']",,,,,,['Beginner'],https://hackmd.io/@coscup/r1Xy7pPA_/%2F%40coscup%2FBJD6zpvAO,https://app.sli.do/event/eqd7isfm,,,2021
MPBF7T,vh7gry,TR214,2021-07-31 11:35:00,2021-07-31 12:15:00,漢語,"{'title': '三寶 GO - 不收費、不收個資、不告人的交通違規檢舉系統', 'description': '三寶 GO 是因筆者多年來對政府和民間檢舉系統的失望而產生的作品，是一個 PWA，技術基礎使用了 Ruby on Rails 和 React，由兩人團隊自 2019 以來淬鍊而成。\r\n\r\n本議程將介紹政府檢舉系統的現況與問題，以及揭露三寶 GO 的技術細節，包括軟體架構、設計巧思以及測試撰寫等。此外還有筆者在過程中學到的經驗，例如 ActionStorage 和 ActionMailbox 的使用與 bug。\r\n\r\nhttps://www.sanbao.icu/'}","{'title': 'Sanbao GO, A Free Traffic Violation Reporting System that Concerns Privacy.', 'description': 'Sanbao GO is a PWA powered by Ruby on Rails and React. We create it since 2019 because of the disappointment to the system made by the government and non-government.\r\n\r\nThis session would cover a brief introduction of the problem and current situation about the government’s reporting system, and the implementation details of Sanbao GO including its architecture design, mechanisms and tests.\r\n\r\nhttps://www.sanbao.icu/'}",['WPV7BN'],,,,,,[],https://hackmd.io/@coscup/r1jH7TPRO/%2F%40coscup%2FrkGQ7TwR_,https://app.sli.do/event/9mpni5j9,,,2021
HHXGSF,9as36v,TR211,2021-08-01 10:00:00,2021-08-01 10:20:00,漢語,"{'title': 'The Future Ethereum Consensus Protocol 以太坊未來協定升級計畫', 'description': '未來數個月內，以太坊即將從工作量證明（Proof-of-Work, PoW ）共識演算法邁入到權益證明（ Proof-of-Stake, PoS）。此演講將介紹以太坊近期和中長期的的協定升級計畫、Beacon Chain\x1d 與 The Merge。'}","{'title': 'The Future Ethereum Consensus Protocol', 'description': 'The most important Ethereum protocol upgrade is in active R&D. In the next few months, Ethereum will switch the core consensus protocol from Ethash Proof-of-Work (PoW) to Eth2 beacon chain Proof-of-Stake (PoS). In this speech, we will introduce the latest updates of the Ethereum consensus protocol progress.'}",['HXUTJY'],,,,,https://pretalx.com/media/coscup-2021/question_uploads/hwwhww_I0ZpoVD.png,[],https://hackmd.io/@coscup/Sylj7TP0_/%2F%40coscup%2FryK_QpDCO,https://app.sli.do/event/brtbfdha,,,2021
CXVBDZ,00xv3j,TR409-1,2021-07-31 14:30:00,2021-07-31 15:00:00,漢語,"{'title': '開源技術社群的通訊協定：如何有效提問', 'description': '線上的社群交流日益重要，特別是在這疫情的時代下。\r\n多年來的開源技術社群參與，總是會遇到一種狀況，不管是新手或是老手都無法避免，那就是如何有效提問，讓更多人參與交流，最後整個社群受惠有良好的交流風氣持續下去。在社群中有更有友善、有效的提問的倡議，是 Andrew Lin 與我認為在相關的開源硬體社群非常重要的基礎，因此在近期我們建立一份關於提問方法的共筆建議在社群得到很好的迴響，這次的分享希望能幫助更多技術社群的大家，讓開源技術的交流越來越好。\r\n\r\n關於 Arduino 程式碼問題，如何有效發問\r\nhttps://hackmd.io/Ulsi2gxpRnmyIiis_LZgTw'}","{'title': 'The communication protocol of the open source technology community: how to effectively ask questions', 'description': 'Online community communication is becoming more and more important, especially in this era of epidemics.\r\nOver the years of open source technology community participation, there will always be a situation, no matter whether it is a novice or a veteran, it is unavoidable, that is how to effectively ask questions, get more people to participate in the exchange, and finally the whole community will benefit from good communication The atmosphere continued. There are more friendly and effective questioning initiatives in the community, which is a very important foundation for Andrew Lin and I think in the relevant open source hardware community. Therefore, in the near future, we have established a joint proposal on questioning methods in the community. The group received a good response. This sharing hopes to help everyone in more technical communities and make the exchange of open source technology better and better.'}",['HHK3LN'],,,,,,[],https://hackmd.io/@coscup/SyATmawRO/%2F%40coscup%2FB1raX6DCd,https://app.sli.do/event/po8zmcc6,,,2021
AGZRAH,xb525k,RB105,2021-08-01 15:00:00,2021-08-01 15:30:00,漢語,"{'title': '如果「資訊作戰」研究也可以是資料科學研究', 'description': 'IORG 以可公開驗證的資料科學方法研究「資訊操弄」（information manipulation），從中揭露「資訊作戰」（information operation），所以需要各式各樣的資料。Facebook、微博，是台灣、中國重要的社交平台，但取得資料卻比想像中還要困難。在建立爬蟲系統的過程中，IORG 面臨各式各樣的挑戰，包括取得目標列表、反制阻擋機制、控制爬蟲速度、訂定資料欄位、提高資料儲存及搜尋效率。我們是如何解決這些挑戰，確保系統持續運作的？軟硬整合的爬蟲系統，怎麼開源？\r\n\r\n對 IORG 來說，g0v 社群長久以來持續累積的開放資料，是超級有價值的研究基礎。「Cofacts 真的假的」有 LINE 的可疑訊息資料、「鄉民看電視」有電視新聞資料、「0archive 零時檔案局」有靜態網站、PTT 的文章。加上 Facebook、微博的貼文，我們必須擴充 0archive 的開放資料標準、連結各種資料，實作儲存、索引、搜尋的方法，並且公開這些資料。這個龐大而複雜的公開資料庫，現在長成什麼樣子了？\r\n\r\n要怎麼從龐大的資料中，找到、觀察一則謠言的生命週期和傳播網絡？除了複製貼上、分享連結之外，謠言也可能在傳播的途中變形、合併。要怎麼知道哪些訊息是屬於同一則謠言？IORG 提出「屬於同一則謠言」的數學定義，以及快速打包謠言的演算法。而在打包之後，就能嘗試 mapping 謠言的傳播網絡，我們準備了一些案例，想與大家分享。\r\n\r\nIORG 研究成果授權公開相關資訊，請參考 https://iorg.tw/open'}","{'title': 'What if IO research is scientific and data-driven?', 'description': 'IORG studies information manipulation and identifies information operations with publicly verifiable data science methods. We need all kinds of data. Facebook and Weibo are two important social platforms in Taiwan and China, and getting data from them is more difficult than we thought. Our scrapers have encountered numerous challenges: acquiring target lists, countering blocking mechanisms, controlling scraping speed, defining data structure, enhancing efficiency on data storage and search. We would like to share our working solutions to these challenges, lessons learned for continuous operation, and how we open-sourced a hardware-software-integrated scraper system.\r\n\r\nOver the years, the g0v community has launched open data projects, providing super valuable data for information manipulation researchers. “Cofacts” has suspicious LINE messages, “tvlogger” has TV news data, and “0archive” has web pages of static websites and forum articles from PTT.  We would like to share how we extended the open data standard from “0archive” to accommodate more sources and platforms. We’d also share the way we store, index, search, and open this massive collection of data.\r\n\r\nHow do you, from the vast sea of text messages, find and observe the life cycle and dissemination network of a rumor? Aside from copy-pasting and link-sharing, a rumor can also “fork” itself or “merge” with others. Where can we draw the boundary of a rumor? We would like to share our proposed mathematical definition of messages belonging to a rumor, and an algorithm to efficiently group them. Lastly, we have mapped several rumors into their dissemination network. We’d share those too.\r\n\r\nMore information on IORG & open-source, please refer to https://iorg.tw/open.'}","['CUGWLS', 'WUUJVK', 'TTUZVR']",,,,,,[],https://hackmd.io/@coscup/rymNETD0O/%2F%40coscup%2Frk8XEpDR_,https://app.sli.do/event/wbdeoysr,,,2021
J8KMTD,4hswou,TR313,2021-08-01 12:00:00,2021-08-01 12:30:00,English,"{'title': 'The OpenFPGA project and Open-source FPGA IPs', 'description': 'In this talk, we will present the OpenFPGA project, which is an open-source framework that automates the cumbersome process in prototyping an FPGA chip.  Using the OpenFPGA,  the layouts of a 160k-LUT custom FPGA can be generated within 24-hours using standard ASIC design tools, which requires a 18 month development cycle even for FPGA vendors. OpenFPGA has enabled publicly available open-source FPGA chips/IPs, e.g., the Skywater Open-source eFpgAs (SOFA), which are production-ready eFPGA IPs for researchers/engineers to reuse in their SoC designs.'}","{'title': 'The OpenFPGA project and Open-source eFPGA IPs', 'description': 'Same as the description'}","['RRQXW3', 'NZTHWJ']",,,,,,['Beginner'],https://hackmd.io/@coscup/HJjKEpPRu/%2F%40coscup%2FS16_NpPCu,https://app.sli.do/event/og1820r8,,,2021
