id,avatar,zh,en,year,unique_id
EDMNJU,https://pretalx.coscup.org/media/avatars/avatar_YVqFYpR.png,"{'name': 'Jay Chang', 'bio': '元智大學資工系學生，平常在瑣碎的課餘時間中廣泛學習資工相關領域的知識，希望能與大家多多交流！\r\n\r\nI am a student in the Department of Computer Science and Engineering at Yuan Ze University, also pursuing an interdisciplinary program in Artificial Intelligence and Bioinformatics. Throughout my journey, I have actively sought out opportunities to broaden my horizons and deepen my understanding of the field.\r\n\r\nOne such opportunity was serving as a Teaching Assistant at MY Camp, a collaborative program between the Massachusetts Institute of Technology and Yuan Ze University. This experience not only enriched my knowledge but also provided valuable insights that have significantly shaped my academic and professional journey.\r\n\r\nI remain dedicated to continuously improving my academic and professional abilities, always seeking new challenges and learning opportunities in the rapidly evolving world of technology.'}","{'name': 'Jay Chang', 'bio': 'I am a Computer Science and Engineering major at Yuan Ze University, also enrolled in the interdisciplinary Artificial Intelligence and Bioinformatics Program. This combination allows me to gain expertise in my core field while exploring its applications in cutting-edge areas. Recently, I served as a Teaching Assistant for the MY Camp 2024 (MIT x YZU Collaboration Program), an experience that has enriched my academic journey.\r\n\r\nBeyond my formal coursework, I am dedicated to continuous learning and actively seek opportunities to expand my knowledge and skills. I regularly utilize online resources and open courseware from various universities to deepen my understanding of computer science and related fields.\r\n\r\nI am committed to continuously improving my academic and professional abilities, always seeking new challenges and learning opportunities in the rapidly evolving world of computer science and its interdisciplinary applications.'}",2024,EDMNJU
HE8GKD,https://pretalx.coscup.org/media/avatars/1024x1024mi_lQtgOHn.jpg,"{'name': '卡米哥', 'bio': '我是卡米哥，卡米狗的作者，LINE API Expert，目前主要使用 Rails 開發，正在維護一個聊天機器人框架 Kamigo。'}","{'name': '卡米哥', 'bio': '我是卡米哥，卡米狗的作者，LINE API Expert，目前主要使用 Rails 開發，正在維護一個聊天機器人框架 Kamigo。'}",2024,HE8GKD
YGALGW,https://pretalx.coscup.org/media/avatars/%E6%9C%AA%E5%91%BD%E5%90%8D_il753VY.png,"{'name': 'SU MIN-JING', 'bio': 'Experienced Android developer with over a year of hands-on experience in both the gas retail and healthcare sectors. Owned the development of clinic-related products and contributed to gas retail and delivery solutions.'}","{'name': 'SU MIN-JING', 'bio': 'Experienced Android developer with over a year of hands-on experience in both the gas retail and healthcare sectors. Owned the development of clinic-related products and contributed to gas retail and delivery solutions.'}",2024,YGALGW
C8V37N,https://www.gravatar.com/avatar/18127ee9aaf94288d941bd0ab8d2bd41?s=1024&d=identicon&r=g,"{'name': 'Yale Hsu', 'bio': '-'}","{'name': 'Yale Hsu', 'bio': '-'}",2024,C8V37N
DMSZ7G,https://pretalx.coscup.org/media/avatars/%E1%84%85%E1%85%B2%E1%84%89%E1%85%AE%E1%84%86%E1%85%B5_OesAKtk.jpg,"{'name': 'Sumi Ryu', 'bio': 'MySQL Principal Solution Engineer, Oracle MySQL GBU\r\nFounder and staff of MySQL User Group in Korea\r\nSun Software pre-sales for MySQL, Glassfish and iPlanet web server, Sun Microsystems\r\nJava developer and software architect, LGCNS'}","{'name': 'Sumi Ryu', 'bio': 'Current, MySQL Principal Solution Engineer, Oracle MySQL GBU\r\nFounder and staff of MySQL User Group in Korea\r\nSun Software pre-sales for MySQL, Glassfish and iPlanet web server, Sun Microsystems\r\nJava developer and software architect, LGCNS'}",2024,DMSZ7G
NXKZZA,https://pretalx.coscup.org/media/avatars/%E5%A4%A7%E9%A0%AD%E7%85%A7_zkVUJ2Z.jpg,"{'name': '温冠華', 'bio': '《一位想成為不平凡的平凡人》\r\n\r\n出身於瑞芳，從小自認天賦異稟，卻在大學受到諸多衝擊，逐漸意識到自身的不足。\r\n\r\n活躍於公益圈、教育界，一切源自於同班同學的家中狀況，讓我意識到這世界還有許多人需要幫助，甚至就近在眼前，促使我成為瑞芳扶少團創團團長、翰林未來之星遠距課輔志工。\r\n\r\n現職：\r\nGoogle Developer Student Clubs NTUST Lead、NTUST CSIE Student Association Director'}","{'name': '温冠華', 'bio': '""An Ordinary Person Aspiring to be Extraordinary""\r\n\r\nI come from Ruifang District, New Taipei City, and have lived here until I went to university. Throughout my life, I have seen many injustices and areas in need of improvement. During my studies and even after graduation, I have continued to dedicate myself to the public welfare and education sectors. Even though my efforts may be small, influencing those around me through my actions is the only thing I can do.\r\n\r\nI understand how easy it is to be content with the status quo and how challenging it is to break out of the comfort zone. Because of this, I hope to provide students in rural areas with the resources and perspectives they need.\r\n\r\nIn the past, I have served as:\r\n1. President of the Public Welfare Interact Club in Ruifang, New Taipei\r\n2. Summer Counseling Volunteer at Hanlin Education Foundation\r\n\r\nCurrently, I am:\r\n1. Lead of the Google Developer Students Club at National Taiwan University of Science and Technology (NTUST GDSC)\r\n2. President of the Department of Computer Science Student Association at National Taiwan University of Science and Technology'}",2024,NXKZZA
YSX7BY,https://pretalx.coscup.org/media/avatars/profile_WOS5UFQ.jpg,"{'name': 'Posu Tsai', 'bio': '來自國境之南的小小工程師，目前在永豐金打雜，對 Compiler、DB、Network 和各種語言都一點點涉略，頭快禿了ＱＱ'}","{'name': 'Posu Tsai', 'bio': '來自國境之南的小小工程師，目前在永豐金打雜，對 Compiler、DB、Network 和各種語言都一點點涉略，頭快禿了ＱＱ'}",2024,YSX7BY
XURCUT,https://www.gravatar.com/avatar/0e6f01190afa60662839f373f4fd7c1c?s=1024&d=identicon&r=g,"{'name': 'Bill Hsu', 'bio': 'Blockchain Security Researcher'}","{'name': 'Bill Hsu', 'bio': 'Blockchain Security Researcher'}",2024,XURCUT
DCT9MZ,https://www.gravatar.com/avatar/4447a9fcb35066329d34d184f4903711?s=1024&d=identicon&r=g,"{'name': '郑秋婉', 'bio': '前端开发，开源爱好者，OpenBuild开源社区的核心贡献者'}","{'name': '郑秋婉', 'bio': '前端开发，开源爱好者，OpenBuild开源社区的核心贡献者'}",2024,DCT9MZ
GYMZ9C,https://pretalx.coscup.org/media/avatars/Screenshot_2023-05-21_at_8.19.18_PM_4hqjRKm.png,"{'name': '李毅山', 'bio': '我是財團法人資訊工業策進會（資策會）的後端工程師，專精於使用Python進行開發工作。目前，我主要負責 III DevOps 開源專案的後端團隊工作。\r\n\r\n我擁有豐富的使用Docker、Kubernetes等微服務開發架構的經驗，並熟練應用CI/CD工具。作為後端團隊的負責人，除了參與產品開發，我也在CI/CD工具整合方面提供了寶貴的建議，並將其實現為 III DevOps 平台產品的API自動回歸測試功能。例如黑箱掃描工具WebInspect和OWASP，白箱掃描工具SonarQube和Checkmarx，以及整合測試工具Postman和映像掃描工具Sbom等。\r\n\r\n此外，我致力於研究如何有效運用後端技術來控制Kubernetes，以實現DevOps平台中多個團隊共享單一Cluster，並保持彼此獨立的開發測試環境。同時，我也專注於研究如何在保證效率的前提下，讓各個專案的Pipeline能夠與後端程式的升級相配合，並自動修改相應的Pipeline YAML檔以實現自動升級。\r\n\r\n我對軟體開發技術的創新和團隊合作充滿熱情，並樂於分享Python在後端開發中的實踐方法和解決方案。作為後端工程師，我致力於推動團隊的成長，並提供高品質的技術解決方案。'}","{'name': '李毅山', 'bio': '我是財團法人資訊工業策進會（資策會）的後端工程師，專精於使用Python進行開發工作。目前，我主要負責 III DevOps 開源專案的後端團隊工作。\r\n\r\n我擁有豐富的使用Docker、Kubernetes等微服務開發架構的經驗，並熟練應用CI/CD工具。作為後端團隊的負責人，除了參與產品開發，我也在CI/CD工具整合方面提供了寶貴的建議，並將其實現為 III DevOps 平台產品的API自動回歸測試功能。例如黑箱掃描工具WebInspect和OWASP，白箱掃描工具SonarQube和Checkmarx，以及整合測試工具Postman和映像掃描工具Sbom等。\r\n\r\n此外，我致力於研究如何有效運用後端技術來控制Kubernetes，以實現DevOps平台中多個團隊共享單一Cluster，並保持彼此獨立的開發測試環境。同時，我也專注於研究如何在保證效率的前提下，讓各個專案的Pipeline能夠與後端程式的升級相配合，並自動修改相應的Pipeline YAML檔以實現自動升級。\r\n\r\n我對軟體開發技術的創新和團隊合作充滿熱情，並樂於分享Python在後端開發中的實踐方法和解決方案。作為後端工程師，我致力於推動團隊的成長，並提供高品質的技術解決方案。'}",2024,GYMZ9C
