id,avatar,zh,en,year
YWMSMR,https://pretalx.coscup.org/media/avatars/hydai_WNMGzbl_T4xE71v.png,"{'name': 'hydai', 'bio': 'Hung-Ying Tai (GitHub ID: hydai) is a pioneer in compiler optimization and virtual machine design.\r\nHe is the maintainer of WasmEdge and CNCF Ambassador.\r\nHe is a prolific open-source contributor, participating in many open-source projects, including crun, llama.cpp, solidity, and SOLL.'}","{'name': 'hydai', 'bio': 'Hung-Ying Tai (GitHub ID: hydai) is a pioneer in compiler optimization and virtual machine design.\r\nHe is the maintainer of WasmEdge and CNCF Ambassador.\r\nHe is a prolific open-source contributor, participating in many open-source projects, including crun, solidity, and SOLL.'}",2024
BLK8YW,https://www.gravatar.com/avatar/42ab84ecaadc58e2b70fd692a796d539?s=1024&d=identicon&r=g,"{'name': '黃俊毓', 'bio': '小鎮智能股份有限公司 - 執行長\r\n專長為資料科學、ESG 領域以及大語言模型相關應用'}","{'name': '黃俊毓', 'bio': '小鎮智能股份有限公司 - 執行長\r\n專長為資料科學、ESG 領域以及大語言模型相關應用'}",2024
NLZK8N,https://pretalx.coscup.org/media/avatars/%E8%8D%89%E5%9C%96_S2f9Dei.jpg,"{'name': 'Ning', 'bio': '悠遊在程式世界中的開發者，資深貓奴，喜歡到各個國家旅遊，用相機捕捉旅途上的小角落！也是位資深貓奴，愛吸貓、交朋友 (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧'}","{'name': 'Ning', 'bio': '悠遊在程式世界中的開發者，資深貓奴，喜歡到各個國家旅遊，用相機捕捉旅途上的小角落！也是位資深貓奴，愛吸貓、交朋友 (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧'}",2024
EJGLMY,https://pretalx.coscup.org/media/avatars/73Bgtvs8_400x400_lbkknyB.png,"{'name': 'Tommy Chen', 'bio': '前後端都在寫的打雜仔。'}","{'name': 'Tommy Chen', 'bio': '前後端都在寫的打雜仔。'}",2024
HXBALJ,https://www.gravatar.com/avatar/b68cc19552ff314a9f814686fc0c1bb0?s=1024&d=identicon&r=g,"{'name': 'Chun-Hsu Lai', 'bio': 'I’m a WiFi firmware engineer but very interested in numerical software.'}","{'name': 'Chun-Hsu Lai', 'bio': 'I’m a WiFi firmware engineer but very interested in numerical software.'}",2024
JQTZZR,https://www.gravatar.com/avatar/7ef35ddc6498dce159fadade85e8bf28?s=1024&d=identicon&r=g,"{'name': '講者名稱', 'bio': '-'}","{'name': '講者名稱', 'bio': '-'}",2024
QRMCVQ,https://pretalx.coscup.org/media/avatars/272126990_4889994921023123_925008866846625760_n_whc5DHy.jpeg,"{'name': 'Nijia Lin', 'bio': 'LINE 台灣技術傳教士/軟體工程生態系觀察家/ LINE Bot Python SDK 維護者之一，熱愛把各種小點子拼裝起來在社群上分享，把各種知識透過文章散播出去，培養更多初進軟體生態的開發者！'}","{'name': 'Nijia Lin', 'bio': 'LINE Taiwan Tech Evangelist / Software Engineering Ecosystem Observer / One of the maintainers of the LINE Bot Python SDK, passionate about assembling various small ideas to share across social communities, spreading knowledge through articles, and nurturing more developers who are new to the software ecosystem!'}",2024
UJKQDY,https://pretalx.coscup.org/media/avatars/4EE0C23B-9E8B-46C1-A0D8-28CF2BDA9DD7_1_105_c_t1ypjq7.jpeg,"{'name': '56', 'bio': '即將單身 30 年，誠徵女友，歡迎搭訕'}","{'name': '56', 'bio': '即將單身 30 年，誠徵女友，歡迎搭訕'}",2024
CHMFXM,https://www.gravatar.com/avatar/a06e537965b337f802913b69848c4289?s=1024&d=identicon&r=g,"{'name': 'Peter Li', 'bio': 'test'}","{'name': 'Peter Li', 'bio': 'test'}",2024
KDSEC8,https://pretalx.coscup.org/media/avatars/IMG_3074_57NzDv8.JPG,"{'name': 'Justin Lin', 'bio': '今年畢業的五專學生，多年 Linux 使用者，興趣是幫別人重灌電腦'}","{'name': 'Justin Lin', 'bio': '今年畢業的五專學生，多年 Linux 使用者，興趣是幫別人重灌電腦'}",2024
